Dex,Pokemon,Primary Type,Secondary Type,Level,Rarity,Sky,Light,Time,Weather,Biomes (Wiki),Anti-Biomes (Wiki),Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase (Wiki),Anti-Moon Phase (Wiki),Presets,Gen #,Labels,Egg Groups,Spawn Weight,Context,Spawn ID,Species Archive,Spawn Directory,Species Directory
#0063,Abra,Psychic,-----,6-31,Rare,Any,8 - 15,Night,Any,"Hills, Temperate",Magical,,,,,,,Natural,Gen 1,,Human_Like,9,Grounded,abra-1,generation1/abra.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0063,Abra,Psychic,-----,6-31,Uncommon,Any,8 - 15,Night,Any,Magical,,,,,,,,Natural,Gen 1,,Human_Like,9,Grounded,abra-2,generation1/abra.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0063,Abra,Psychic,-----,6-31,Common,CANNOT SEE,Any,Any,Any,Overworld,,,,,,,,Mansion,Gen 1,,Human_Like,1.8,Grounded,abra-3,generation1/abra.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0359,Absol,Dark,-----,16-25,Rare,Any,Any,Any,Any,Mountain,,,,,,,,Natural,Gen 3,,Field,8,Grounded,absol-1,generation3/absol.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0359,Absol,Dark,-----,15-25,Uncommon,Any,Any,Any,Any,Mountain,,,,,,,,Natural,Gen 3,,Field,4,Grounded,absol-2,generation3/absol.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0359,Absol,Dark,-----,25-43,Rare,Any,Any,Any,Any,Mountain,,,,,,,,Natural,Gen 3,,Field,6,Grounded,absol-3,generation3/absol.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0359,Absol,Dark,-----,35-52,Common,Any,Any,Any,Any,End,,,,,,,,Natural,Gen 3,,Field,4,Grounded,absol-4,generation3/absol.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0681,Aegislash,Steel,Ghost,40-50,Uncommon,Any,Any,Any,Any,Nether,,,,,,,,"Natural, Nether_Structures",Gen 6,,Mineral,1,Grounded,aegislash-1,generation6/aegislash.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0681,Aegislash,Steel,Ghost,40-50,Common,Any,8 - 15,Any,Any,Overworld,,,,,,,,Ruins,Gen 6,,Mineral,0.2,Grounded,aegislash-2,generation6/aegislash.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0681,Aegislash,Steel,Ghost,40-50,Uncommon,Any,0 - 7,Any,Any,Overworld,,,,,,,,Stronghold,Gen 6,,Mineral,1,Grounded,aegislash-3,generation6/aegislash.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
